Transaction ID,Customer Name,Product Name,Quantity,Unit Price,Transaction Date,Country,City,Payment Method,Shipping Method,Status
16f7ec1d-0842-4e4a-95fb-58a75b180025,Thomas Thompson,doctor,8,328.66,2024-02-06 14:11:18.809180,Fiji,Kellymouth,Credit Card,Standard,Pending
595ea6c1-d412-4f0c-8d15-4cfedd14f8d6,Robert Garcia,pick,6,863.74,2024-03-19 03:35:40.828135,Tunisia,Fullermouth,Cash,Express,Delivered
2f25ad75-9e8e-4c71-a831-ea497b447afb,Lisa Anderson,authority,3,92.82,2024-04-25 10:05:36.077326,Mali,Jonathanland,Cash,Express,Delivered
96f77f70-0d30-4ac2-b861-fcb99e1273ac,Danielle Maxwell,cost,4,271.63,2024-04-21 12:37:56.637752,Tunisia,East Barbarastad,PayPal,Express,Pending
5134df73-6667-4af5-958e-dc36f1304012,Brenda Nolan,compare,6,970.26,2024-03-08 11:20:25.233514,Comoros,Port Dustin,PayPal,Standard,Delivered
fa7dc85d-3ea4-4fea-94d7-c3328e54d165,Susan Jones,prove,7,129.1,2024-05-02 22:50:22.945790,Luxembourg,New Nancystad,Cash,Standard,Delivered
68193da8-d941-4cc0-86ab-f59b8cecc382,Erica Roberts,great,9,781.36,2024-04-23 00:13:34.473611,Taiwan,West Julieside,Credit Card,Standard,Pending
ac327060-84f4-4fe9-800f-391218c20944,Stephanie Wright,top,7,932.52,2024-04-25 10:03:42.817810,French Guiana,West Carlaburgh,Credit Card,Express,Shipped
d2da58be-5d9e-43a4-9a1f-18114c8e8bdf,Derek Howard,trip,10,880.94,2024-02-13 16:46:51.645589,Kyrgyz Republic,Lake Christopher,Credit Card,Standard,Processing
12b874c7-c9c2-46b7-be71-2dbdbf864de2,Shawn Moore,couple,4,131.87,2024-02-29 16:10:17.761788,Russian Federation,North Ericborough,PayPal,Express,Pending
b0a7cb7b-57eb-4357-81e2-e34d0ece2ce3,Elizabeth Thomas,control,10,466.72,2024-04-06 00:55:16.689311,Denmark,Port Lisaside,Cash,Express,Delivered
2b8cf1b1-5fa5-4253-b94b-fb005cca96c5,Patrick Brown,fish,1,280.5,2024-03-17 23:44:35.432089,Palestinian Territory,New Howard,Cash,Express,Processing
